uniqueId,name,naSales,euSales,jpSales,otherSales,globalSales
792,Captain America: Super Soldier,0.1,0.06,0.0,0.03,0.19
793,Captain America: Super Soldier,0.11,0.05,0.0,0.01,0.17
794,Captain America: Super Soldier,0.05,0.02,0.0,0.01,0.08
795,Captain Morgane and the Golden Turtle,0.0,0.02,0.0,0.0,0.03
796,Captain Toad: Treasure Tracker,0.53,0.38,0.19,0.09,1.19
797,Carmageddon: Max Damage,0.01,0.01,0.0,0.0,0.02
798,Carmageddon: Max Damage,0.01,0.0,0.0,0.0,0.01
799,Carnival Games,2.12,1.47,0.05,0.42,4.05
800,Carnival Games,1.21,0.63,0.0,0.19,2.03
801,Carnival Games: Mini Golf,0.86,0.54,0.0,0.15,1.56
802,Carnival Island,0.13,0.06,0.0,0.04,0.23
803,Cars,1.01,0.04,0.0,0.16,1.21
804,Cars,0.72,0.28,0.0,0.2,1.2
805,Cars,0.81,0.3,0.0,0.02,1.13
806,Cars,0.85,0.04,0.0,0.07,0.97
807,Cars,0.72,0.19,0.0,0.03,0.93
808,Cars,0.22,0.01,0.0,0.02,0.25
809,Cars: Mater-National Championship,0.63,0.0,0.0,0.05,0.68
810,Cars: Mater-National Championship,0.37,0.01,0.0,0.03,0.41
811,Cars: Mater-National Championship,0.13,0.0,0.0,0.01,0.14
812,Cars: Race-O-Rama,0.14,0.01,0.0,0.01,0.15
813,Cartoon Network: Punch Time Explosion,0.07,0.02,0.0,0.01,0.1
814,Casper: Spirit Dimensions,0.07,0.05,0.0,0.02,0.14
815,Castle of Shikigami III,0.04,0.0,0.0,0.0,0.04
816,Castle Shikigami 2,0.01,0.01,0.0,0.0,0.02
817,Castlevania: Aria of Sorrow,0.2,0.07,0.0,0.0,0.28
818,Castlevania: Circle of the Moon,0.6,0.22,0.05,0.02,0.89
819,Castlevania: Curse of Darkness,0.18,0.14,0.05,0.05,0.42
820,Castlevania: Curse of Darkness,0.09,0.03,0.0,0.0,0.12
821,Castlevania: Dawn of Sorrow,0.34,0.03,0.03,0.03,0.43
822,Castlevania: Harmony of Dissonance,0.16,0.06,0.04,0.0,0.26
823,Castlevania: Lament of Innocence,0.46,0.36,0.0,0.12,0.94
824,Castlevania: Lords of Shadow,0.5,0.35,0.1,0.15,1.1
825,Castlevania: Lords of Shadow,0.42,0.17,0.01,0.05,0.66
826,Castlevania: Lords of Shadow 2,0.03,0.12,0.02,0.03,0.2
