uniqueId,name,yearReleased,genre,publisher,developer,rating,naSales,euSales,jpSales,otherSales,globalSales,criticScore,criticCount,userScore,userCount
47,AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,Harmonix Music Systems,T,0.21,0.01,0.0,0.02,0.24,60,12,5.3,14
48,AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,Harmonix Music Systems,T,0.21,0.0,0.0,0.02,0.23,63,16,4.9,10
49,Academy of Champions: Soccer,2009,Sports,Ubisoft,Ubisoft Vancouver,E,0.09,0.02,0.0,0.01,0.12,64,20,6.8,14
50,Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,Capcom,T,0.23,0.14,0.3,0.04,0.7,78,51,8.4,79
51,Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,Project Aces,T,0.3,0.15,0.22,0.07,0.74,77,28,6.7,82
52,Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,Project Aces,T,0.3,0.12,0.03,0.04,0.49,78,71,6.2,82
53,Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,Project Aces,T,0.1,0.06,0.08,0.01,0.24,71,37,7.8,26
54,Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,Project Aces,T,0.06,0.05,0.15,0.03,0.29,71,30,7.2,12
55,Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,Namco,E,2.06,0.56,0.38,0.17,3.17,89,22,9.1,95
56,Ace Combat 2,1997,Simulation,Sony Computer Entertainment,Namco,T,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22
57,Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,Namco,T,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81
58,Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,Project Aces,T,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101
59,Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,Project Aces,T,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30
60,Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,Namco,T,0.15,0.12,0.2,0.04,0.51,75,45,8.4,55
61,Achtung Panzer: Kharkov 1943,2010,Strategy,Mamba Games,Paradox Interactive,,0.0,0.01,0.0,0.0,0.02,70,6,8.3,20
62,Active Life: Outdoor Challenge,2008,Sports,Atari,h.a.n.d. Inc.,E,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14
63,Activision Anthology,2002,Misc,Activision,Contraband Entertainment,E,0.25,0.19,0.0,0.06,0.5,75,13,7.7,6
64,Act of Aggression,2015,Strategy,Focus Home Interactive,Eugen Systems,,0.0,0.01,0.0,0.0,0.01,71,37,7.1,93
65,Advance Wars,2001,Strategy,Nintendo,Intelligent Systems,E,0.5,0.19,0.0,0.01,0.7,92,28,9.0,95
66,Advance Wars: Dual Strike,2005,Strategy,Nintendo,Intelligent Systems,E,0.3,0.02,0.04,0.03,0.39,90,49,9.0,163
67,Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,Intelligent Systems,E,0.47,0.17,0.0,0.01,0.65,89,34,9.4,97
68,Advent Rising,2005,Action,THQ,GlyphX Games,T,0.1,0.03,0.0,0.0,0.13,68,50,7.5,68
69,Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,WayForward,E10+,0.0,0.07,0.0,0.0,0.08,65,5,5.6,8
70,Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,WayForward,E10+,0.0,0.05,0.0,0.0,0.06,58,5,7.5,4
71,Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,"Neverland, Idea Factory",E10+,0.02,0.0,0.0,0.0,0.02,62,20,6.5,11
72,Aegis of Earth: Protonovus Assault,2016,Action,PQube,Acquire,T,0.02,0.0,0.0,0.0,0.03,57,11,7.8,9
73,Aeon Flux,2005,Action,THQ,Terminal Reality,T,0.02,0.02,0.0,0.01,0.04,66,19,5.8,9
74,Aeon Flux,2005,Action,THQ,Terminal Reality,T,0.01,0.0,0.0,0.0,0.01,69,27,3.0,4
75,Aero Elite: Combat Academy,2002,Simulation,Sega,Sega AM2,E,0.04,0.03,0.0,0.01,0.07,64,18,7.0,8
76,Afrika,2008,Adventure,Unknown,Rhino Studios,E10+,0.12,0.0,0.08,0.01,0.22,63,12,6.2,34
77,Afro Samurai,2009,Action,Atari,"Namco Bandai Games America, Namco Bandai Games",M,0.16,0.05,0.0,0.02,0.24,65,70,6.2,57
78,Afro Samurai,2009,Action,Atari,"Namco Bandai Games America, Namco Bandai Games",M,0.12,0.05,0.0,0.03,0.2,65,52,6.1,27
79,A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,Cyanide,,0.0,0.03,0.0,0.01,0.03,53,40,4.0,110
80,Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,AWE Games,T,0.06,0.01,0.0,0.01,0.07,50,23,6.2,12
81,Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,AWE Games,T,0.06,0.01,0.0,0.01,0.08,46,6,7.3,6
82,Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,Dreamcatcher,T,0.08,0.01,0.0,0.01,0.1,53,11,6.5,4
83,Agatha Christie: The ABC Murders,2016,Adventure,Microids,Artefacts Studio,,0.0,0.02,0.0,0.0,0.02,66,15,8.5,144
84,Agatha Christie's The ABC Murders,2016,Adventure,Microids,Microids,T,0.01,0.01,0.0,0.0,0.03,67,17,6.2,12
85,Agatha Christie's The ABC Murders,2016,Adventure,Microids,Microids,,0.01,0.0,0.0,0.0,0.01,66,7,7.5,8
86,Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,Funcom,M,0.0,0.02,0.0,0.0,0.03,83,14,8.4,52
87,Age of Empires: Mythologies,2008,Strategy,THQ,Griptonite Games,E10+,0.16,0.03,0.0,0.02,0.21,78,28,6.9,20
