uniqueid,name,yearreleased,genre,publisher,developer,rating
1865,FIFA Manager 12,2011,Sports,Electronic Arts,Bright Future GmbH,E
1866,FIFA Soccer,2005,Sports,Electronic Arts,EA Canada,E
1867,FIFA Soccer,2012,Sports,Electronic Arts,Electronic Arts,E
1868,FIFA Soccer 06,2005,Sports,Electronic Arts,EA Canada,E
1869,FIFA Soccer 06,2005,Sports,Electronic Arts,EA Canada,E
1870,FIFA Soccer 06,2005,Sports,Electronic Arts,EA Sports,E
1871,FIFA Soccer 08,2007,Sports,Electronic Arts,EA Canada,E
1872,FIFA Soccer 08,2007,Sports,Electronic Arts,EA Canada,E
1873,FIFA Soccer 08,2007,Sports,Electronic Arts,EA Canada,E
1874,FIFA Soccer 08,2007,Sports,Electronic Arts,EA Canada,E
1875,FIFA Soccer 08,2007,Sports,Electronic Arts,EA Canada,E
1876,FIFA Soccer 08,2007,Sports,Electronic Arts,EA Canada,E
1877,FIFA Soccer 09,2008,Sports,Electronic Arts,EA Canada,E
1878,FIFA Soccer 09,2008,Sports,Electronic Arts,EA Canada,E
1879,FIFA Soccer 09,2008,Sports,Electronic Arts,EA Canada,E
1880,FIFA Soccer 09,2008,Sports,Electronic Arts,EA Canada,E
1881,FIFA Soccer 09,2008,Sports,Electronic Arts,EA Canada,E
1882,FIFA Soccer 09,2008,Sports,Electronic Arts,EA Canada,E
1883,FIFA Soccer 09 All-Play,2008,Sports,Electronic Arts,EA Canada,E
1884,FIFA Soccer 10,2009,Sports,Electronic Arts,EA Sports,E
1885,FIFA Soccer 10,2009,Sports,Electronic Arts,EA Sports,E
1886,FIFA Soccer 10,2009,Sports,Electronic Arts,EA Sports,E
1887,FIFA Soccer 10,2009,Sports,Electronic Arts,EA Sports,E
1888,FIFA Soccer 10,2009,Sports,Electronic Arts,EA Sports,E
1889,FIFA Soccer 11,2010,Sports,Electronic Arts,EA Sports,E
1890,FIFA Soccer 11,2010,Sports,Electronic Arts,EA Sports,E
1891,FIFA Soccer 11,2010,Sports,Electronic Arts,EA Sports,E
1892,FIFA Soccer 11,2010,Sports,Electronic Arts,EA Sports,E
1893,FIFA Soccer 11,2010,Sports,Electronic Arts,EA Sports,E
1894,FIFA Soccer 13,2012,Action,Electronic Arts,Electronic Arts,E
1895,FIFA Soccer 13,2012,Action,Electronic Arts,Electronic Arts,E
1896,FIFA Soccer 13,2012,Action,Electronic Arts,Electronic Arts,E
1897,FIFA Soccer 13,2012,Action,Electronic Arts,Electronic Arts,E
1898,FIFA Soccer 13,2012,Action,Electronic Arts,Electronic Arts,E
1899,FIFA Soccer 13,2012,Action,Electronic Arts,Electronic Arts,E
1900,FIFA Soccer 2002,2001,Sports,Electronic Arts,EA Sports,E
1901,FIFA Soccer 2002,2001,Sports,Electronic Arts,EA Sports,E
1902,FIFA Soccer 2002,2001,Sports,Electronic Arts,EA Sports,E
1903,FIFA Soccer 2003,2002,Sports,Electronic Arts,EA Canada,E
1904,FIFA Soccer 2003,2002,Sports,Electronic Arts,EA Canada,E
1905,FIFA Soccer 2003,2002,Sports,Electronic Arts,EA Canada,E
1906,FIFA Soccer 2004,2003,Sports,Electronic Arts,EA Canada,E
1907,FIFA Soccer 2004,2003,Sports,Electronic Arts,EA Canada,E
1908,FIFA Soccer 2004,2003,Sports,Electronic Arts,Exient Entertainment,E
1909,FIFA Soccer 2005,2004,Sports,Electronic Arts,EA Canada,E
1910,FIFA Soccer 2005,2004,Sports,Electronic Arts,EA Canada,E
1911,FIFA Soccer 2005,2004,Sports,Electronic Arts,EA Canada,E
1912,FIFA Soccer 2005,2004,Sports,Electronic Arts,EA Canada,E
1913,FIFA Street,2005,Sports,Electronic Arts,EA Canada,E
1914,FIFA Street,2005,Sports,Electronic Arts,EA Canada,E
1915,FIFA Street,2012,Sports,Electronic Arts,EA Sports,E
1916,FIFA Street,2012,Sports,Electronic Arts,EA Sports,E
1917,FIFA Street 2,2006,Sports,Electronic Arts,EA Canada,E
1918,FIFA Street 2,2006,Sports,Electronic Arts,EA Canada,E
1919,FIFA Street 2,2006,Sports,Electronic Arts,EA Canada,E
1920,FIFA Street 2,2006,Sports,Electronic Arts,EA Canada,E
1921,FIFA Street 2,2006,Sports,Electronic Arts,Exient Entertainment,E
1922,FIFA Street 3,2008,Sports,Electronic Arts,EA Canada,E
1923,FIFA Street 3,2008,Sports,Electronic Arts,EA Canada,E
1924,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1925,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1926,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1927,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1928,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1929,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1930,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,EA Canada,E
1931,Fight Club,2004,Fighting,Vivendi Games,Genuine Games,M
1932,Fight Club,2004,Fighting,Vivendi Games,Genuine Games,M
1933,Fighter Maker 2,2002,Fighting,Enterbrain,Enterbrain,T
1934,Fighters Uncaged,2010,Fighting,Ubisoft,Ubisoft,T
1935,Fighter Within,2013,Fighting,Ubisoft,Ubisoft,T
1936,Fighting Fantasy: The Warlock of Firetop Mountain,2009,Role-Playing,Aspyr,Big Blue Bubble Inc.,T
1937,Fight Night 2004,2004,Fighting,Electronic Arts,EA Sports,T
1938,Fight Night 2004,2004,Fighting,Electronic Arts,EA Sports,T
1939,Fight Night Champion,2011,Fighting,Electronic Arts,EA Canada,M
1940,Fight Night Champion,2011,Fighting,Electronic Arts,EA Canada,M
1941,Fight Night Round 2,2005,Fighting,Electronic Arts,EA Sports,T
1942,Fight Night Round 2,2005,Fighting,Electronic Arts,EA Sports,T
1943,Fight Night Round 2,2005,Fighting,Electronic Arts,EA Sports,T
1944,Fight Night Round 3,2006,Fighting,Electronic Arts,EA Chicago,T
1945,Fight Night Round 3,2006,Fighting,Electronic Arts,EA Chicago,T
1946,Fight Night Round 3,2006,Fighting,Electronic Arts,EA Chicago,T
1947,Fight Night Round 3,2006,Fighting,Electronic Arts,EA Chicago,T
1948,Fight Night Round 3,2006,Fighting,Electronic Arts,EA Chicago,T
1949,Fight Night Round 4,2009,Fighting,Electronic Arts,EA Canada,T
1950,Fight Night Round 4,2009,Fighting,Electronic Arts,EA Canada,T
1951,Final Fantasy: Crystal Chronicles,2003,Role-Playing,Nintendo,Square Enix,T
1952,Final Fantasy: The 4 Heroes of Light,2009,Role-Playing,Square Enix,Matrix Software,E10+
1953,Final Fantasy Anniversary Edition,2007,Role-Playing,Square Enix,TOSE,E10+
1954,Final Fantasy Anthology,1999,Role-Playing,Square EA,SquareSoft,T
1955,Final Fantasy Chronicles,2001,Role-Playing,Square,TOSE,T
1956,Final Fantasy Crystal Chronicles: Echoes of Time,2009,Role-Playing,Square Enix,Square Enix,E10+
1957,Final Fantasy Crystal Chronicles: Echoes of Time,2009,Role-Playing,Square Enix,Square Enix,E10+
1958,Final Fantasy Crystal Chronicles: Ring of Fates,2007,Role-Playing,Square Enix,Square Enix,E10+
1959,Final Fantasy Crystal Chronicles: The Crystal Bearers,2009,Action,Square Enix,Square Enix,T
1960,Final Fantasy Explorers,2014,Role-Playing,Square Enix,Racjin,E10+
1961,Final Fantasy Fables: Chocobo's Dungeon,2007,Role-Playing,Square Enix,h.a.n.d. Inc.,E10+
1962,Final Fantasy Fables: Chocobo Tales,2006,Adventure,Ubisoft,h.a.n.d. Inc.,E
1963,Final Fantasy II Anniversary Edition,2007,Role-Playing,Square Enix,TOSE,T
1964,Final Fantasy III,2006,Role-Playing,Square Enix,Matrix Software,E10+
1965,Final Fantasy IV,2007,Simulation,Square Enix,Matrix Software,E10+
1966,Final Fantasy IV: The Complete Collection,2011,Role-Playing,Square Enix,Bullets,E10+
1967,Final Fantasy IV Advance,2005,Role-Playing,Nintendo,TOSE,E10+
1968,Final Fantasy IX,2000,Role-Playing,SquareSoft,SquareSoft,T
1969,Final Fantasy Tactics,1997,Role-Playing,SquareSoft,SquareSoft,T
1970,Final Fantasy Tactics: The War of the Lions,2007,Role-Playing,Square Enix,TOSE,T
1971,Final Fantasy Tactics A2: Grimoire of the Rift,2007,Role-Playing,Square Enix,Square Enix,E10+
1972,Final Fantasy Tactics Advance,2003,Role-Playing,SquareSoft,Square Enix,E
1973,Final Fantasy V Advance,2006,Role-Playing,Nintendo,TOSE,E
1974,Final Fantasy VI Advance,2006,Role-Playing,Nintendo,TOSE,E10+
1975,Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,T
1976,Final Fantasy VIII,1999,Role-Playing,SquareSoft,SquareSoft,T
1977,Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,SquareSoft,T
1978,Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,Square Enix,Virtuos,T
1979,Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,Square Enix,Virtuos,T
1980,Final Fantasy X-2,2003,Role-Playing,Electronic Arts,SquareSoft,T
1981,Final Fantasy XI,2006,Role-Playing,Square Enix,Square Enix,T
1982,Final Fantasy XI: Chains of Promathia,2004,Role-Playing,Square Enix,Square Enix,T
1983,Final Fantasy XI: Treasures of Aht Urhgan,2006,Role-Playing,Square Enix,Square Enix,T
1984,Final Fantasy XI: Wings of the Goddess,2007,Role-Playing,Square Enix,Square Enix,T
1985,Final Fantasy XII,2006,Role-Playing,Square Enix,Square Enix,T
1986,Final Fantasy XII: Revenant Wings,2007,Role-Playing,Square Enix,"Square Enix, Think and Feel",E10+
1987,Final Fantasy XIII,2009,Role-Playing,Square Enix,Square Enix,T
1988,Final Fantasy XIII,2010,Role-Playing,Square Enix,Square Enix,T
1989,Final Fantasy XIII-2,2011,Role-Playing,Square Enix,Square Enix,T
1990,Final Fantasy XIII-2,2011,Role-Playing,Square Enix,Square Enix,T
1991,Final Fantasy XIV: Heavensward,2015,Action,Square Enix,Square Enix,T
1992,Final Fantasy XIV: Heavensward,2015,Action,Square Enix,Square Enix,T
1993,Final Fight: Streetwise,2006,Action,Capcom,Capcom,M
1994,Final Fight: Streetwise,2006,Action,Capcom,Secret Level,M
1995,Final Fight One,2001,Fighting,Ubisoft,Sun-Tec,E
1996,Finding Nemo,2003,Action,THQ,Traveller's Tales,E
1997,Fire Emblem,2003,Strategy,Nintendo,Intelligent Systems,E
1998,Fire Emblem: Awakening,2012,Role-Playing,Nintendo,Intelligent Systems,T
1999,Fire Emblem: Path of Radiance,2005,Action,Nintendo,Intelligent Systems,T
2000,Fire Emblem: Radiant Dawn,2007,Strategy,Nintendo,Intelligent Systems,E10+
2001,Fire Emblem: Shadow Dragon,2008,Role-Playing,Nintendo,Intelligent Systems,E10+
2002,Fire Emblem: The Sacred Stones,2004,Strategy,Nintendo,Intelligent Systems,E
2003,Fire Pro Wrestling Returns,2005,Sports,505 Games,S-Neo,T
2004,Fisherman's Challenge,2003,Sports,Konami Digital Entertainment,Konami,E
2005,Fishing Master,2007,Misc,Konami Digital Entertainment,Hudson Soft,E
2006,Fishing Resort,2011,Sports,Namco Bandai Games,Prope,E
2007,Fish Tycoon,2007,Simulation,Majesco Entertainment,"LDW, Big Fish Games",E
2008,Fist of the North Star: Ken's Rage,2010,Action,Ubisoft Annecy,"Koei, Omega Force",M
2009,Fist of the North Star: Ken's Rage,2010,Action,Ubisoft Annecy,Koei,M
2010,Fist of the North Star: Ken's Rage 2,2012,Fighting,Tecmo Koei,"Koei, Omega Force",M
2011,Fist of the North Star: Ken's Rage 2,2012,Fighting,Tecmo Koei,Koei,M
2012,Fist of the North Star: Ken's Rage 2,2013,Fighting,Tecmo Koei,Koei,M
2013,Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo,"Nintendo, Namco Bandai Games",E
2014,FlatOut,2004,Racing,Empire Interactive,Bugbear,T
2015,FlatOut,2004,Racing,Empire Interactive,Bugbear,T
2016,FlatOut: Head On,2008,Racing,Empire Interactive,Bugbear,T
2017,FlatOut: Ultimate Carnage,2007,Racing,Empire Interactive,Bugbear,T
2018,FlatOut: Ultimate Carnage,2008,Racing,Empire Interactive,Bugbear,T
2019,FlatOut 2,2006,Racing,Empire Interactive,Bugbear,T
2020,FlatOut 2,2006,Racing,Empire Interactive,Bugbear,T
2021,FlingSmash,2010,Action,Nintendo,Artoon,E
2022,Flipnic: Ultimate Pinball,2003,Misc,Ubisoft,SCEI,E
2023,"Flower, Sun, and Rain",2008,Adventure,Rising Star Games,h.a.n.d. Inc.,T
2024,Folklore,2007,Role-Playing,Sony Computer Entertainment,"Game Republic, JapanStudio",T
2025,Food Network: Cook or Be Cooked,2009,Misc,Namco Bandai Games,Red Fly Studio,E
2026,Football Manager 2010,2009,Sports,Sega,Sports Interactive,E
2027,Football Manager 2011,2010,Sports,Sega,Sports Interactive,E
2028,Football Manager 2012,2011,Sports,Sega,Sports Interactive,E
2029,Football Manager 2013,2012,Sports,Sega,Sports Interactive,
2030,Football Manager 2014,2013,Sports,Sega,Sports Interactive,E
2031,Football Manager 2015,2014,Simulation,Sega,Sports Interactive,
2032,Football Manager 2016,2015,Simulation,Sega,Sega,E
2033,Football Manager 2017,2016,Simulation,Sega,Sports Interactive,E
2034,Football Manager Handheld 2010,2009,Sports,Sega,Sports Interactive,E
2035,Football Manager Handheld 2011,2010,Sports,Sega,Sports Interactive,E
2036,Football Manager Live,2009,Sports,Sega,Sports Interactive,
2037,Ford Mustang: The Legend Lives,2005,Racing,Take-Two Interactive,Eutechnyx,E
2038,Ford Racing,2001,Racing,Empire Interactive,Toolbox Design,E
2039,Ford Racing 2,2003,Racing,Empire Interactive,Razorworks Studios,E
2040,Ford Racing 3,2004,Racing,Take-Two Interactive,Razorworks Studios,E
2041,Ford Racing Off Road,2008,Racing,Xplosiv,Razorworks,E
2042,Forever Kingdom,2001,Role-Playing,From Software,From Software,T
2043,Forgotten Realms: Demon Stone,2004,Action,Atari,Stormfront Studios,T
2044,Forgotten Realms: Demon Stone,2004,Action,Atari,Stormfront Studios,T
2045,Formula One 2001,2001,Racing,Sony Computer Entertainment,Studio Liverpool,E
2046,Fortune Street,2011,Misc,Nintendo,Marvelous AQL,E
2047,Forza Horizon,2012,Racing,Microsoft Game Studios,"PLAYGROUND, Playground Games",T
2048,Forza Horizon 2,2014,Racing,Microsoft Game Studios,Playground Games,E10+
2049,Forza Horizon 3,2016,Racing,Microsoft Game Studios,Playground Games,E
2050,Forza Motorsport,2005,Racing,Microsoft Game Studios,Microsoft Game Studios,E
2051,Forza Motorsport 2,2007,Racing,Microsoft Game Studios,Turn 10,E
2052,Forza Motorsport 3,2009,Racing,Microsoft Game Studios,Turn 10,E
2053,Forza Motorsport 4,2011,Racing,Microsoft Game Studios,Turn 10,E
2054,Forza Motorsport 5,2013,Racing,Microsoft Game Studios,Turn 10,E
2055,Forza Motorsport 6,2015,Racing,Microsoft Game Studios,Turn 10,E
2056,Fossil Fighters,2008,Role-Playing,Nintendo,RED Entertainment,E
2057,Fossil Fighters: Champions,2010,Role-Playing,Nintendo,"RED Entertainment, Artdink",E
2058,Fossil Fighters: Frontier,2014,Role-Playing,Nintendo,"RED Entertainment, Spike Chunsoft",E10+
2059,Fracture,2008,Shooter,LucasArts,Day 1 Studios,T
2060,Fracture,2008,Shooter,LucasArts,Day 1 Studios,T
2061,Fragile Dreams: Farewell Ruins of the Moon,2009,Role-Playing,Rising Star Games,Tri-Crescendo,T
2062,Freedom Fighters,2003,Shooter,Electronic Arts,Io Interactive,T
2063,Freedom Fighters,2003,Shooter,Electronic Arts,Io Interactive,T
2064,Freedom Fighters,2003,Shooter,Electronic Arts,Io Interactive,T
2065,Freedom Wars,2014,Role-Playing,Sony Computer Entertainment,"Dimps Corporation, SCE Japan Studio",T
2066,Freedom Wings,2006,Simulation,Natsume,Beluga Computer,E10+
2067,Freekstyle,2002,Racing,Electronic Arts,Page 44 Studios,E
2068,Freelancer,2003,Simulation,Microsoft Game Studios,Digital Anvil,T
2069,Freestyle Metal X,2003,Racing,Midway Games,Deibus Studios,T
2070,Frequency,2001,Misc,Sony Computer Entertainment,Harmonix Music Systems,E
2071,Frogger: Ancient Shadow,2005,Platform,Konami Digital Entertainment,Hudson Soft,E
2072,Frogger: Helmet Chaos,2005,Platform,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,E
2073,Frogger: The Great Quest,2001,Platform,Konami Digital Entertainment,Konami,E
2074,Frogger's Adventures: The Rescue,2003,Platform,Konami Digital Entertainment,Konami,E
2075,Frogger 2: Swampy's Revenge,1999,Action,Hasbro Interactive,Blitz Games,E
2076,Frogger 3D,2011,Action,Konami Digital Entertainment,Alpha Unit,E
2077,Frogger Beyond,2002,Platform,Konami Digital Entertainment,Konami,E
2078,From Russia With Love,2005,Action,Electronic Arts,EA Redwood Shores,T
2079,From Russia With Love,2005,Action,Electronic Arts,Electronic Arts,T
2080,From Russia With Love,2005,Action,Electronic Arts,Electronic Arts,T
2081,From Russia With Love,2006,Action,Electronic Arts,Rebellion,T
2082,From The Abyss,2008,Role-Playing,Nobilis,Sonic Powered,E
2083,Frontlines: Fuel of War,2008,Shooter,THQ,Kaos Studios,T
2084,Frontlines: Fuel of War,2008,Shooter,THQ,Kaos Studios,T
2085,Front Mission,2007,Strategy,Square Enix,Square Enix,E10+
2086,Front Mission 4,2003,Strategy,Square Enix,Square Enix,T
2087,Front Mission Evolved,2010,Shooter,Square Enix,Double Helix Games,T
2088,Front Mission Evolved,2010,Shooter,Square Enix,Double Helix Games,T
2089,Front Mission Evolved,2010,Shooter,Square Enix,Double Helix Games,T
2090,Fuel,2009,Racing,Codemasters,Asobo Studio,E
2091,Fuel,2009,Racing,Codemasters,Asobo Studio,E
2092,Fuel,2009,Racing,Codemasters,Asobo Studio,E
2093,Fugitive Hunter: War on Terror,2003,Shooter,Play It,Black Ops Entertainment,M
2094,Full Auto,2006,Shooter,Sega,Pseudo Interactive,T
2095,Full Auto 2: Battlelines,2006,Racing,Sega,Pseudo Interactive,T
2096,Fullmetal Alchemist: Dual Sympathy,2005,Role-Playing,Empire Interactive,Natsume,T
2097,Fullmetal Alchemist: Trading Card Game,2007,Misc,Destineer,Magellan Interactive,T
2098,Fullmetal Alchemist 2: Curse of the Crimson Elixir,2004,Role-Playing,Square Enix,Racjin,T
2099,Fullmetal Alchemist and the Broken Angel,2003,Role-Playing,Square Enix,Racjin,T
2100,Full Spectrum Warrior,2004,Strategy,THQ,Pandemic Studios,M
2101,Full Spectrum Warrior,2005,Strategy,THQ,Pandemic Studios,M
2102,Full Spectrum Warrior: Ten Hammers,2006,Strategy,THQ,Pandemic Studios,M
2103,FunkMaster Flex's Digital Hitz Factory,2003,Misc,Jester Interactive,Jester Interactive,E
2104,Fur Fighters: Viggo's Revenge,2001,Action,Acclaim Entertainment,Bizarre Creations,T
2105,Furu Furu Park,2007,Misc,Taito,"Taito Corporation, 505 Games",E10+
2106,Futurama,2003,Platform,SCi,UDS,T
2107,Futurama,2003,Platform,SCi,UDS,T
2108,Future Tactics: The Uprising,2004,Strategy,Crave Entertainment,Zed Two Limited,T
2109,Fuzion Frenzy,2001,Misc,Microsoft Game Studios,Blitz Games,E
2110,Fuzion Frenzy 2,2007,Misc,Microsoft Game Studios,Hudson Soft,E10+
2111,F-Zero: GP Legend,2003,Racing,Nintendo,Suzak,E
2112,F-Zero: Maximum Velocity,2001,Racing,Nintendo,Nd Cube,E
2113,F-Zero GX,2003,Racing,Nintendo,Amusement Vision,T
2114,G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,Double Helix Games,T
2115,G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,Double Helix Games,T
2116,G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,Double Helix Games,T
2117,G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,Backbone Entertainment,E10+
2118,G1 Jockey 3,2002,Sports,THQ,Koei/Inis,E
2119,Gabrielle's Ghostly Groove 3D,2011,Adventure,Funbox Media,Santa Entertainment,E
2120,Gadget Racers,2000,Racing,Midas Interactive Entertainment,Barnhouse Effect,E
2121,Galactic Wrestling: Featuring Ultimate Muscle,2004,Fighting,Namco Bandai Games,Aki Corp.,T
2122,Galerians: Ash,2002,Adventure,Sammy Corporation,Polygon Magic,T
2123,Galleon: Islands of Mystery,2004,Action,SCi,Confounding Factor,T
2124,Gallop Racer 2001,2001,Sports,Tecmo Koei,Tecmo,E
2125,Gallop Racer 2003: A New Breed,2002,Sports,Zoo Digital Publishing,Tecmo,E
2126,Gallop Racer 2004,2004,Sports,Zoo Digital Publishing,Tecmo,E
2127,Gallop Racer 2006,2005,Sports,Tecmo Koei,Tecmo,E
2128,Game of Thrones,2012,Role-Playing,Focus Home Interactive,"Cyanide, Cyanide Studios",M
2129,Game of Thrones,2012,Role-Playing,Focus Home Interactive,"Cyanide, Cyanide Studios",M
2130,Game of Thrones,2012,Role-Playing,Focus Home Interactive,"Cyanide, Cyanide Studios",M
2131,Game Party,2007,Misc,Midway Games,Midway,E
2132,Game Party: Champions,2012,Action,Warner Bros. Interactive Entertainment,"Phosphor Games Studio, LLC",E
2133,Game Party 2,2008,Misc,Midway Games,Midway,E
2134,Game Party in Motion,2010,Misc,Warner Bros. Interactive Entertainment,Farsight Studios,E
2135,Gangs of London,2006,Adventure,Sony Computer Entertainment,SCEE London Studio,M
2136,Gardening Mama,2009,Puzzle,505 Games,Taito Corporation,E
2137,Gauntlet: Dark Legacy,2001,Action,Midway Games,Midway,T
2138,Gauntlet: Dark Legacy,2002,Action,Midway Games,Midway,T
2139,Gauntlet: Dark Legacy,2002,Action,Midway Games,Midway,T
2140,Gauntlet: Seven Sorrows,2005,Role-Playing,Midway Games,Midway,T
2141,Gauntlet: Seven Sorrows,2005,Role-Playing,Midway Games,Midway,T
2142,Gears of War,2006,Shooter,Microsoft Game Studios,Epic Games,M
2143,Gears of War,2007,Shooter,Microsoft Game Studios,Epic Games,M
2144,Gears of War: Judgment,2013,Shooter,Microsoft Game Studios,Epic Games,M
2145,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Game Studios,"Splash Damage, The Coalition",M
2146,Gears of War 2,2008,Shooter,Microsoft Game Studios,Epic Games,M
2147,Gears of War 3,2011,Shooter,Microsoft Game Studios,Epic Games,M
2148,Gears of War 4,2016,Shooter,Microsoft Game Studios,The Coalition,M
2149,Geist,2005,Adventure,Nintendo,n-Space,M
2150,Gekido Advance: Kintaro's Revenge,2002,Action,Zoo Digital Publishing,Naps Team,T
2151,Generation of Chaos,2005,Role-Playing,Midas Interactive Entertainment,Idea Factory,T
2152,Genji: Dawn of the Samurai,2005,Action,Sony Computer Entertainment,Game Republic,M
2153,Genji: Days of the Blade,2006,Action,Sony Computer Entertainment,Game Republic,T
2154,Genma Onimusha,2002,Action,Capcom,Capcom,M
2155,Geometry Wars: Galaxies,2007,Shooter,Vivendi Games,Kuju Entertainment,E
2156,Geometry Wars: Galaxies,2007,Shooter,Vivendi Games,Kuju Entertainment,E
2157,George of the Jungle and the Search for the Secret,2008,Platform,Ignition Entertainment,Crave,E
2158,Get Fit with Mel B,2010,Sports,Black Bean Games,Lightning Fish Games,E
2159,Get On Da Mic,2004,Misc,Eidos Interactive,Artificial Mind and Movement,T
2160,G-Force,2009,Action,Disney Interactive Studios,Eurocom Entertainment Software,E10+
2161,G-Force,2009,Action,Disney Interactive Studios,Eurocom Entertainment Software,E10+
2162,G-Force,2009,Action,Disney Interactive Studios,Eurocom Entertainment Software,E10+
2163,Ghostbusters: The Video Game,2009,Action,Atari,Red Fly Studio,E10+
2164,Ghostbusters: The Video Game,2009,Action,Sony Computer Entertainment,Terminal Reality,T
2165,Ghostbusters: The Video Game,2009,Action,Atari,Terminal Reality,T
2166,Ghostbusters: The Video Game,2009,Action,Atari,War Drum Studios,E10+
2167,Ghostbusters: The Video Game,2009,Action,Atari,Zen Studios,E
2168,Ghostbusters: The Video Game,2009,Action,Atari,Red Fly Studio,E10+
2169,Ghosthunter,2003,Action,Sony Computer Entertainment,SCE Studio Cambridge,T
2170,Ghost in the Shell: Stand Alone Complex,2005,Adventure,Atari,G-Artists,T
2171,Ghost Rider,2007,Action,Take-Two Interactive,Climax Group,T
2172,Ghost Squad,2007,Shooter,Sega,"Artificial Mind and Movement, Polygon Magic",T
2173,Ghost Trick: Phantom Detective,2010,Adventure,Capcom,Capcom,T
2174,Giants: Citizen Kabuto,2001,Shooter,Interplay,Digital Mayhem,T
2175,Gitaroo Man,2001,Misc,THQ,Koei/Inis,E
2176,Gladiator: Sword of Vengeance,2003,Action,Acclaim Entertainment,Acclaim Studios Manchester,M
2177,Gladiator: Sword of Vengeance,2003,Action,Acclaim Entertainment,Acclaim Studios Manchester,M
2178,Gladiator Begins,2010,Action,PQube,Acquire,M
2179,Gladius,2003,Strategy,Activision,LucasArts,T
2180,Gladius,2003,Strategy,Activision,LucasArts,T
2181,Gladius,2003,Strategy,Activision,LucasArts,T
2182,Glory Days 2,2007,Strategy,Ghostlight,odenis studio,E10+
2183,Glory of Heracles,2008,Role-Playing,Nintendo,Paon Corporation,E10+
2184,Goat Simulator,2016,Simulation,Koch Media,Coffee Stain Studios,T
2185,Goblin Commander: Unleash the Horde,2003,Strategy,Jaleco,Jaleco Entertainment,T
2186,Goblin Commander: Unleash the Horde,2003,Strategy,Jaleco,Jaleco Entertainment,T
2187,Godai: Elemental Force,2002,Action,3DO,3DO,T
2188,God Eater 2: Rage Burst,2015,Role-Playing,Namco Bandai Games,Shift,T
2189,God Eater Resurrection,2015,Action,Namco Bandai Games,"Shift, Bandai Namco Games",T
2190,God Hand,2006,Action,Capcom,Clover Studio,M
2191,God of War,2005,Action,Sony Computer Entertainment,SCE Santa Monica,M
2192,God of War: Ascension,2013,Action,Sony Computer Entertainment,SCE Santa Monica,M
2193,God of War: Chains of Olympus,2008,Action,Sony Computer Entertainment,Ready at Dawn,M
2194,God of War: Ghost of Sparta,2010,Action,Sony Computer Entertainment,Ready at Dawn,M
2195,God of War: Origins Collection,2011,Action,Sony Computer Entertainment,Ready at Dawn,M
2196,God of War Collection,2009,Action,Sony Computer Entertainment,Bluepoint Games,M
2197,God of War Collection,2014,Action,Sony Computer Entertainment,"Sanzaru Games, Sanzaru Games, Inc.",M
2198,God of War II,2007,Action,Sony Computer Entertainment,SCE Santa Monica,M
2199,God of War III,2010,Action,Sony Computer Entertainment,SCE Santa Monica,M
2200,Gods Eater Burst,2010,Action,Namco Bandai Games,"Shift, Bandai Namco Games",T
2201,Godzilla: Destroy All Monsters Melee,2002,Fighting,Atari,"Pipeworks Software, Inc.",T
2202,Godzilla: Save the Earth,2004,Fighting,Atari,"Pipeworks Software, Inc.",T
2203,Godzilla: Save the Earth,2004,Fighting,Atari,"Pipeworks Software, Inc.",T
2204,Godzilla Unleashed,2007,Fighting,Atari,"Pipeworks Software, Inc.",E10+
2205,Godzilla Unleashed: Double Smash,2007,Action,Atari,Santa Cruz Games,E
2206,Golden Axe: Beast Rider,2008,Action,Sega,Secret Level,M
2207,Golden Axe: Beast Rider,2008,Action,Sega,Secret Level,M
2208,GoldenEye: Rogue Agent,2004,Shooter,Electronic Arts,EA LA,T
2209,GoldenEye: Rogue Agent,2004,Shooter,Electronic Arts,EA LA,T
2210,GoldenEye: Rogue Agent,2004,Shooter,Electronic Arts,EA LA,T
2211,GoldenEye: Rogue Agent,2005,Shooter,Electronic Arts,"EA Tiburon, n-Space",T
2212,Goldeneye 007: Reloaded,2011,Shooter,Activision,Eurocom Entertainment Software,T
2213,Goldeneye 007: Reloaded,2011,Shooter,Activision,Eurocom Entertainment Software,T
