uniqueId,name,criticScore,criticCount,userScore,userCount
197,Ape Escape 2,82,31,8.4,32
198,Ape Escape 3,77,51,8.5,22
199,Ape Escape Academy,51,48,5.8,4
200,Apex,74,26,9.1,7
201,Apollo Justice: Ace Attorney,78,48,8.1,84
202,Aquaman: Battle for Atlantis,27,9,3.1,19
203,Aquapazza: Aquaplus Dream Match,75,13,7.8,20
204,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,37,19,5.9,10
205,Arcana Heart,77,12,8.1,8
206,Arcana Heart 3,73,10,7.5,27
207,Arcania: Gothic 4,63,25,4.4,307
208,Arcania: Gothic 4,64,21,5.2,52
